[2026-04-24T13:50:49Z]   CDX check failed: timed out
[2026-04-24T13:50:49Z] [76/1937] no-snapshot  https://hbclynchburg.com/staff/
[2026-04-24T13:50:54Z] [77/1937] older     https://www.kjvchurches.com/churches/united-states/virginia/lynchburg/heritage-baptist-church-105/
[2026-04-24T13:51:02Z] [78/1937] older     https://graceefc.net
[2026-04-24T13:51:09Z] [79/1937] fresh     https://www.gmbcbedford.org
[2026-04-24T13:51:12Z] [80/1937] fresh     https://brgrace.com
[2026-04-24T13:51:12Z]   checkpoint: {"fresh": 38, "older": 12, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 30}
[2026-04-24T13:51:21Z] [81/1937] fresh     https://cov-pres.org
[2026-04-24T13:51:29Z] [82/1937] fresh     https://cov-pres.org/people/todd-pruitt/
[2026-04-24T13:51:38Z] [83/1937] fresh     https://www.cbcstaunton.org
[2026-04-24T13:51:48Z] [84/1937] fresh     https://www.brutonparish.org
[2026-04-24T13:52:06Z]   CDX check failed: timed out
[2026-04-24T13:52:06Z] [85/1937] no-snapshot  https://www.brutonparish.org/clergy
[2026-04-24T13:52:12Z] [86/1937] older     https://wcchapel.org
[2026-04-24T13:52:26Z]   CDX check failed: timed out
[2026-04-24T13:52:26Z] [87/1937] no-snapshot  https://wcchapel.org/about-us/what-we-believe/staff
[2026-04-24T13:52:44Z]   CDX check failed: timed out
[2026-04-24T13:52:44Z] [88/1937] no-snapshot  https://wcchapel.org/about-us/our-elders/
[2026-04-24T13:52:48Z] [89/1937] fresh     https://www.gracecovpca.org
[2026-04-24T13:53:06Z]   CDX check failed: timed out
[2026-04-24T13:53:06Z] [90/1937] no-snapshot  https://redeemerarlington.com
[2026-04-24T13:53:06Z]   checkpoint: {"fresh": 43, "older": 13, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 34}
[2026-04-24T13:53:09Z] [91/1937] fresh     https://rognova.com
[2026-04-24T13:53:17Z] [92/1937] fresh     https://ctranglican.church/
[2026-04-24T13:53:23Z] [93/1937] fresh     https://www.acna.org/admin_units/1371
[2026-04-24T13:53:41Z]   CDX check failed: timed out
[2026-04-24T13:53:41Z] [94/1937] no-snapshot  https://gracereformedchurchdc.org
[2026-04-24T13:53:59Z]   CDX check failed: timed out
[2026-04-24T13:53:59Z] [95/1937] no-snapshot  https://christkirkdc.com
[2026-04-24T13:54:16Z]   CDX check failed: timed out
[2026-04-24T13:54:16Z] [96/1937] no-snapshot  https://www.christkirkdc.com
[2026-04-24T13:54:28Z] [97/1937] fresh     https://pohick.org
[2026-04-24T13:54:45Z]   CDX check failed: timed out
[2026-04-24T13:54:45Z] [98/1937] no-snapshot  https://episcopalvirginia.org/church/pohick-lorton/
[2026-04-24T13:54:53Z] [99/1937] fresh     https://viennapres.org
[2026-04-24T13:54:56Z] [100/1937] no-snapshot  https://viennapres.org/about
[2026-04-24T13:54:56Z]   checkpoint: {"fresh": 48, "older": 13, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 39}
[2026-04-24T13:55:04Z] [101/1937] fresh     https://www.viennapres.org/rev-dr-hope-lee/
[2026-04-24T13:55:09Z] [102/1937] fresh     https://gracemosaic.org
[2026-04-24T13:55:10Z] [103/1937] fresh     https://gracedc.net/mosaic/
[2026-04-24T13:55:26Z] [104/1937] fresh     https://byfaithonline.com/statement-from-mna-committee/
[2026-04-24T13:55:42Z] [105/1937] fresh     https://wcfchurch.org
[2026-04-24T13:55:45Z] [106/1937] fresh     https://wcfchurch.org/about/our-beliefs
[2026-04-24T13:55:47Z] [107/1937] fresh     https://wcfchurch.org/about/our-team
[2026-04-24T13:56:05Z]   CDX check failed: timed out
[2026-04-24T13:56:05Z] [108/1937] no-snapshot  https://www.faithstreet.com/church/washington-community-fellowship-washington-district-of-columbia
[2026-04-24T13:56:06Z] [109/1937] fresh     https://clarendonpresbyterian.org
[2026-04-24T13:56:07Z] [110/1937] older     https://redeemerva.org/
[2026-04-24T13:56:07Z]   checkpoint: {"fresh": 56, "older": 14, "saved": 0, "skip": 0, "fail": 0, "cached": 0, "no-snapshot": 40}
[2026-04-24T13:56:14Z] [111/1937] fresh     https://www.sbcv.org/churches/redeemer-bible-church/
[2026-04-24T13:56:21Z] [112/1937] older     https://redeemerstafford.org/
